id,customer_id,account_id,posted_at,transaction_at,description,memo,value_amount_usd,merchant_normalized,category,location_inferred,user_id,matched_reward_id,reward_applied,reward_savings_amount,notification_triggered,created_at,updated_at
1,1001,2001,2024-01-15T10:30:00,2024-01-15T10:30:00,STARBUCKS STORE #12345,Purchase at Starbucks Coffee,-5.50,Starbucks,dining,San Francisco,1,1,True,0.28,False,2024-01-15T10:30:00,
2,1001,2001,2025-10-29T13:14:29,2025-10-29T12:14:29,UBER TRIP,Ride share payment,-18.50,Uber,travel,San Francisco,1,2,True,1.85,False,2024-01-15T14:20:00,
3,1001,2001,2025-10-28T13:14:29,2025-10-28T12:14:29,WHOLE FOODS MARKET,Grocery purchase,-85.50,Whole Foods,groceries,San Francisco,1,3,True,2.57,False,2024-01-16T09:15:00,
4,1001,2001,2025-10-27T13:14:29,2025-10-27T12:14:29,AMAZON.COM,Online purchase,-29.99,Amazon,shopping,San Francisco,1,4,True,0.60,False,2024-01-16T19:45:00,
5,1001,2001,2025-10-26T13:14:29,2025-10-26T12:14:29,SBUX #67890,Coffee purchase,-4.75,Starbucks,dining,San Francisco,1,1,True,0.24,False,2024-01-17T08:00:00,
6,1001,2001,2025-10-25T13:14:29,2025-10-25T12:14:29,RESTAURANT XYZ,Dinner payment,-45.00,Restaurant,dining,San Francisco,1,,False,,False,2024-01-17T12:30:00,
7,1001,2001,2025-10-24T13:14:29,2025-10-24T12:14:29,COFFEE SHOP SF,Morning coffee,-6.25,Coffee Shop,dining,San Francisco,1,7,True,0.25,False,2024-01-18T07:30:00,
8,1001,2001,2025-10-23T13:14:29,2025-10-23T12:14:29,UBER *RIDE,Uber ride to airport,-32.00,Uber,travel,San Francisco,1,2,True,3.20,False,2024-01-18T18:00:00,
9,1001,2001,2025-10-22T13:14:29,2025-10-22T12:14:29,WHOLE FOODS #SF,Weekly groceries,-120.00,Whole Foods,groceries,San Francisco,1,3,True,3.60,False,2024-01-19T10:00:00,
10,1001,2001,2025-10-21T13:14:29,2025-10-21T12:14:29,NETFLIX,Streaming subscription,-15.99,Netflix,entertainment,San Francisco,1,,False,,False,2024-01-19T20:00:00,
11,1001,2001,2025-10-20T13:14:29,2025-10-20T12:14:29,STARBUCKS STORE #12345,Coffee purchase,-5.50,Starbucks,dining,San Francisco,1,1,True,0.28,False,2024-01-20T09:00:00,
12,1001,2001,2025-10-19T13:14:29,2025-10-19T12:14:29,AMAZON MARKETPLACE,Amazon order,-45.50,Amazon,shopping,San Francisco,1,4,True,0.91,False,2024-01-20T13:00:00,
13,1001,2001,2025-10-18T13:14:29,2025-10-18T12:14:29,LYFT RIDE,Lyft transportation,-15.75,Lyft,travel,San Francisco,1,,False,,False,2024-01-21T08:30:00,
14,1001,2001,2025-10-17T13:14:29,2025-10-17T12:14:29,TARGET STORE,Shopping at Target,-65.25,Target,groceries,San Francisco,1,,False,,False,2024-01-21T17:00:00,
15,1001,2001,2025-10-16T13:14:29,2025-10-16T12:14:29,COFFEE SHOP SF,Morning coffee,-6.25,Coffee Shop,dining,San Francisco,1,7,True,0.25,False,2024-01-22T07:00:00,
16,1001,2001,2025-10-15T13:14:29,2025-10-15T12:14:29,UBER TRIP,Ride share payment,-18.50,Uber,travel,San Francisco,1,2,True,1.85,False,2024-01-22T12:00:00,
17,1001,2001,2025-10-14T13:14:29,2025-10-14T12:14:29,STARBUCKS STORE #12345,Coffee purchase,-5.50,Starbucks,dining,San Francisco,1,1,True,0.28,False,2024-01-23T09:00:00,
18,1001,2001,2025-10-13T13:14:29,2025-10-13T12:14:29,AMAZON PRIME,Prime subscription,-14.99,Amazon,shopping,San Francisco,1,4,True,0.30,False,2024-01-23T15:00:00,
19,1001,2001,2025-10-12T13:14:29,2025-10-12T12:14:29,WHOLE FOODS MARKET,Grocery purchase,-95.00,Whole Foods,groceries,San Francisco,1,3,True,2.85,False,2024-01-24T10:00:00,
20,1001,2001,2025-10-11T13:14:29,2025-10-11T12:14:29,MOVIE THEATER,Cinema tickets,-24.00,Movie Theater,entertainment,San Francisco,1,,False,,False,2024-01-24T19:00:00,
21,1001,2001,2025-10-10T13:14:29,2025-10-10T12:14:29,SBUX #67890,Coffee purchase,-4.75,Starbucks,dining,San Francisco,1,1,True,0.24,False,2024-01-25T08:00:00,
22,1001,2001,2025-10-09T13:14:29,2025-10-09T12:14:29,UBER *RIDE,Uber ride,-25.00,Uber,travel,San Francisco,1,2,True,2.50,False,2024-01-25T14:00:00,
23,1001,2001,2025-10-08T13:14:29,2025-10-08T12:14:29,COFFEE SHOP SF,Morning coffee,-6.25,Coffee Shop,dining,San Francisco,1,7,True,0.25,False,2024-01-26T09:00:00,
24,1001,2001,2025-10-07T13:14:29,2025-10-07T12:14:29,AMAZON.COM,Online purchase,-35.00,Amazon,shopping,San Francisco,1,4,True,0.70,False,2024-01-26T16:00:00,
25,1001,2001,2025-10-06T13:14:29,2025-10-06T12:14:29,STARBUCKS STORE #12345,Coffee purchase,-5.50,Starbucks,dining,San Francisco,1,1,True,0.28,False,2024-01-27T07:30:00,
26,1001,2001,2025-10-05T13:14:29,2025-10-05T12:14:29,WHOLE FOODS MARKET,Grocery purchase,-110.00,Whole Foods,groceries,San Francisco,1,3,True,3.30,False,2024-01-28T10:00:00,
27,1001,2001,2025-10-04T13:14:29,2025-10-04T12:14:29,UBER TRIP,Ride share payment,-20.00,Uber,travel,San Francisco,1,2,True,2.00,False,2024-01-28T18:00:00,
28,1001,2001,2025-10-03T13:14:29,2025-10-03T12:14:29,COFFEE SHOP SF,Morning coffee,-6.25,Coffee Shop,dining,San Francisco,1,7,True,0.25,False,2024-01-29T08:00:00,
29,1001,2001,2025-10-02T13:14:29,2025-10-02T12:14:29,AMAZON MARKETPLACE,Amazon order,-55.00,Amazon,shopping,San Francisco,1,4,True,1.10,False,2024-01-29T13:00:00,
30,1001,2001,2025-10-01T13:14:29,2025-10-01T12:14:29,STARBUCKS STORE #12345,Coffee purchase,-5.50,Starbucks,dining,San Francisco,1,1,True,0.28,False,2024-01-30T09:00:00,
31,1001,2001,2025-09-30T13:14:29,2025-09-30T12:14:29,PAYROLL DEPOSIT,Salary payment,3500.00,Payroll,income,San Francisco,1,,False,,False,2024-01-31T11:00:00,
32,1002,2002,2025-10-29T13:14:29,2025-10-29T12:14:29,STARBUCKS STORE #12345,Coffee purchase,-5.50,Starbucks,dining,New York,2,1,True,0.28,False,2024-01-15T09:00:00,
33,1002,2002,2025-10-28T13:14:29,2025-10-28T12:14:29,UBER TRIP,Ride share payment,-22.00,Uber,travel,New York,2,2,True,2.20,False,2024-01-15T18:00:00,
34,1002,2002,2025-10-27T13:14:29,2025-10-27T12:14:29,AMAZON.COM,Online purchase,-45.00,Amazon,shopping,New York,2,4,True,0.90,False,2024-01-16T10:00:00,
35,1002,2002,2025-10-26T13:14:29,2025-10-26T12:14:29,RESTAURANT XYZ,Dinner payment,-75.00,Restaurant,dining,New York,2,,False,,False,2024-01-16T20:00:00,
